t,nu_u,nu_v,nu_w,nu_p,nu_q,nu_r,nudot_udot,nudot_vdot,nudot_wdot,nudot_pdot,nudot_qdot,nudot_rdot,thr_fx,thr_fy,thr_fz,thr_tx,thr_ty,thr_tz,mujoco_fluid_fx,mujoco_fluid_fy,mujoco_fluid_fz,mujoco_fluid_tx,mujoco_fluid_ty,mujoco_fluid_tz,target_fx,target_fy,target_fz,target_tx,target_ty,target_tz
98.865382089,0.239688477696,0.0331146426091,0.00636132674417,0.00986692389327,-0.0260970508356,-0.260369430848,0.0327688789586,-0.0272375019897,0.00274341139352,0.0734557925925,-0.0362117865043,-1.01047752716,22.0793094948,-2.41752917538,-18.5363473088,0.132188639525,-3.0664047667,-3.54763208114,-6.77644625653,-0.771452756974,-0.104574972728,-0.083681638327,0.162045525679,1.10149358525,-21.5726129473,1.99636285363,18.5787679568,-0.0974164302506,3.05299807698,2.8005597729
98.915382089,0.241740051877,0.0313752194998,0.00669351397095,0.0139922254084,-0.0277058648495,-0.311247184275,0.0387949501618,-0.0378425690093,0.00741375896027,0.0805284970235,-0.0269769667906,-1.02030998705,22.4648592659,-2.72662087437,-18.0092124145,0.158220468296,-2.97616232026,-4.06819168585,-7.11254570104,-0.668350099245,-0.0897647333802,-0.117633005836,0.198663912261,1.66094425542,-21.8649831661,2.14147119356,18.1238494173,-0.120100210489,2.96617463784,3.31384998436
98.965382089,0.243567972712,0.0293303857082,0.0071027026402,0.0179197735956,-0.0287947475147,-0.362400429553,0.0334599444458,-0.0414637787714,0.00859273457349,0.0851556638211,-0.0157389143152,-0.951820296681,22.4998785144,-2.81751608161,-17.5202375745,0.178346227084,-2.89342051454,-4.37685330935,-7.47419022659,-0.545469896453,-0.0752552115775,-0.157778563136,0.235286372073,2.31372665824,-21.9824962033,2.1763725877,17.6531047668,-0.138035579567,2.8875934963,3.67314781668
99.015382089,0.245086046321,0.0272288416226,0.00755278742829,0.0225077917905,-0.029279756281,-0.406429213943,0.0307883707434,-0.0387939461164,0.00892587944455,0.0848876630452,-0.00252078752017,-0.798885611577,22.0615159211,-2.60196213887,-17.1781090143,0.114099952487,-2.83691587565,-3.98705409119,-7.84193035553,-0.419355761566,-0.0586059005375,-0.208308205942,0.266004497876,2.94469478956,-21.5854434508,2.00210156435,17.316127538,-0.0739161701055,2.83598260448,3.39641718753
99.065382089,0.246646809786,0.0254509910965,0.00799529058466,0.0264085399001,-0.0290468262667,-0.442288990711,0.0316421678548,-0.0323200749264,0.00877424680992,0.068419692829,0.0113141662212,-0.618206034897,21.6156158318,-2.31812814225,-16.808209946,-0.00434611136957,-2.77574063338,-3.34708971292,-8.23812845398,-0.301421355381,-0.0434057167436,-0.257411111829,0.288370899952,3.50176720466,-21.1263413215,1.8183713334,16.9438838142,0.0367343518822,2.77992947714,2.89003391796
99.115382089,0.248250263107,0.02399683413,0.00843021210929,0.0293497610734,-0.0281483396589,-0.468249817433,0.0460622117627,-0.0278018048132,0.00888663567279,0.0542261533974,0.0283595776601,-0.311172473963,21.2742940077,-1.89944631631,-16.5889331513,-0.114208383302,-2.73970682055,-2.63341582374,-8.64295128552,-0.194089731534,-0.0321502679322,-0.298878850477,0.300394923342,3.92377180409,-20.5620461552,1.46955432857,16.7263448589,0.139877742893,2.75020638699,2.40335792325
99.165382089,0.251253030963,0.0226708106152,0.00888395415193,0.0318311552399,-0.0262108685007,-0.473406238107,0.0753225987019,-0.0256241656732,0.00920403820235,0.0272812777738,0.0424224392857,0.0168035172742,20.9430535307,-1.50097118122,-16.2860657529,-0.24983752075,-2.68951595166,-1.86476563561,-9.04949158734,-0.120845921454,-0.03045262184,-0.329465226359,0.292481435735,3.98589943711,-19.7783600191,1.10475145415,16.4283853723,0.262751822898,2.70522201135,1.87718891283
99.215382089,0.255782522977,0.0214344175627,0.00935061592952,0.0320778888508,-0.0239060957303,-0.466569465705,0.0902591935994,-0.0276756691077,0.00657083119021,-0.0197371591091,0.049369512555,0.235586860077,20.6008213638,-1.25457741832,-16.0268451292,-0.376565637474,-2.64673436275,-1.07348658105,-9.49021546259,-0.0696770991654,-0.0442941070669,-0.335140470311,0.275979630223,3.82893060714,-19.2051672181,0.826635833785,16.1284481619,0.367222540043,2.66501243738,1.24766207196
99.265382089,0.260278950322,0.0199032437045,0.00954103727096,0.029857439329,-0.0212739172452,-0.4498475521,0.0882308105646,-0.0328919118124,0.00125088630273,-0.0715080956857,0.0599916053827,0.420848011948,20.6142719984,-0.840145181909,-15.8116715152,-0.491796099125,-2.61032967008,-0.336846620909,-9.85478376572,-0.0278074134326,-0.0665595700097,-0.314065978271,0.253592178909,3.50087670478,-19.2499822054,0.331546209848,15.8310136408,0.457945882822,2.63254036214,0.64799049819
99.315382089,0.264605604033,0.0181452263814,0.00947570455979,0.0249270792822,-0.0179069351921,-0.42448466451,0.0878575805846,-0.0187317190436,-0.00177603204787,-0.120028781198,0.0817288283956,0.571841816562,20.5453308522,-0.442964596784,-15.5615582928,-0.595538135353,-2.56826735893,0.406390057666,-10.1372599757,-4.96710173544e-05,-0.0994990854748,-0.267449141773,0.22421418881,3.03881989155,-19.1868122161,0.153320957192,15.5340959769,0.538719391024,2.59852582306,0.0163874652062
